,model.source,useStopwords,tool.word,model.word,model.document,classifier,accuracy,macro-F1,micro-F1,time.format.model,time.format.train,time.format.evaluate,time.format.all
0,corpus,NO,NO,BOW,TF*IDF-LDA,GaussianNB,0.49255264509501795,0.4745953797157977,0.49255264509501795,0:00:17.530000,0:00:00.005960,0:00:00.015400,0:00:17.551360
1,corpus,NO,NO,BOW,TF*IDF-LDA,RandomForestClassifier,0.5618900873138162,0.5563891369501397,0.5618900873138162,0:00:17.530000,0:00:00.204000,0:00:00.023200,0:00:17.757200
2,corpus,NO,NO,BOW,TF*IDF-LDA,SVM,0.5921931176168465,0.5114532406532473,0.5921931176168465,0:00:17.530000,0:00:00.109000,0:00:00.026300,0:00:17.665300
3,corpus,NO,NO,BOW,TF*IDF-LSA,GaussianNB,0.731381612737545,0.7334305589397048,0.7313816127375451,0:00:08.520000,0:00:00.015100,0:00:00.024100,0:00:08.559200
4,corpus,NO,NO,BOW,TF*IDF-LSA,RandomForestClassifier,0.7082691319979456,0.7076076629906213,0.7082691319979456,0:00:08.520000,0:00:00.365000,0:00:00.030700,0:00:08.915700
5,corpus,NO,NO,BOW,TF*IDF-LSA,SVM,0.8977914740626605,0.8985626541231392,0.8977914740626605,0:00:08.520000,0:00:00.152000,0:00:00.028100,0:00:08.700100
6,corpus,NO,NO,BOW,TF*IDF-Plain,GaussianNB,0.842321520287622,0.8402554586637034,0.842321520287622,0:00:07.190000,0:00:00.053000,0:00:00.065400,0:00:07.308400
7,corpus,NO,NO,BOW,TF*IDF-Plain,RandomForestClassifier,0.8243451463790447,0.8256461758737028,0.8243451463790447,0:00:07.190000,0:00:00.391000,0:00:00.033700,0:00:07.614700
8,corpus,NO,NO,BOW,TF*IDF-Plain,SVM,0.8875192604006163,0.8885031345006092,0.8875192604006163,0:00:07.190000,0:00:00.319000,0:00:00.074100,0:00:07.583100
9,corpus,yes,NO,BOW,TF*IDF-LDA,GaussianNB,0.5772984078068824,0.5500764208634812,0.5772984078068824,0:00:15.404000,0:00:00.005660,0:00:00.014700,0:00:15.424360
10,corpus,yes,NO,BOW,TF*IDF-LDA,RandomForestClassifier,0.6189008731381612,0.6160907238318074,0.6189008731381612,0:00:15.404000,0:00:00.202000,0:00:00.023600,0:00:15.629600
11,corpus,yes,NO,BOW,TF*IDF-LDA,SVM,0.6630713918849512,0.60452783971485,0.6630713918849512,0:00:15.404000,0:00:00.087900,0:00:00.015800,0:00:15.507700
12,corpus,yes,NO,BOW,TF*IDF-LSA,GaussianNB,0.7729840780688239,0.7725233075310243,0.7729840780688239,0:00:07.224000,0:00:00.012000,0:00:00.025200,0:00:07.261200
13,corpus,yes,NO,BOW,TF*IDF-LSA,RandomForestClassifier,0.7889060092449923,0.788709158560749,0.7889060092449923,0:00:07.224000,0:00:00.367000,0:00:00.022300,0:00:07.613300
14,corpus,yes,NO,BOW,TF*IDF-LSA,SVM,0.8983050847457628,0.898577099392454,0.8983050847457628,0:00:07.224000,0:00:00.137000,0:00:00.026000,0:00:07.387000
15,corpus,yes,NO,BOW,TF*IDF-Plain,GaussianNB,0.847457627118644,0.8460547482769887,0.847457627118644,0:00:07.264000,0:00:00.041600,0:00:00.067800,0:00:07.373400
16,corpus,yes,NO,BOW,TF*IDF-Plain,RandomForestClassifier,0.8464304057524397,0.8468823493642953,0.8464304057524397,0:00:07.264000,0:00:00.203000,0:00:00.026300,0:00:07.493300
17,corpus,yes,NO,BOW,TF*IDF-Plain,SVM,0.8936825885978429,0.8944746602090314,0.8936825885978429,0:00:07.264000,0:00:00.066500,0:00:00.019700,0:00:07.350200
