,model.source,useStopwords,tool.word,model.word,model.document,classifier,accuracy,macro-F1,micro-F1,time.format.model,time.format.train,time.format.evaluate,time.format.all
0,corpus,NO,NO,BOW,TF*IDF-LDA,GaussianNB,0.492552645095018,0.474595379715798,0.492552645095018,0:00:17.530000,0:00:00.005960,0:00:00.015400,0:00:17.551360
1,corpus,NO,NO,BOW,TF*IDF-LDA,RandomForestClassifier,0.561890087313816,0.55638913695014,0.561890087313816,0:00:17.530000,0:00:00.204000,0:00:00.023200,0:00:17.757200
2,corpus,NO,NO,BOW,TF*IDF-LDA,SVM,0.592193117616846,0.511453240653247,0.592193117616846,0:00:17.530000,0:00:00.109000,0:00:00.026300,0:00:17.665300
3,corpus,NO,NO,BOW,TF*IDF-LSA,GaussianNB,0.731381612737545,0.733430558939705,0.731381612737545,0:00:08.520000,0:00:00.015100,0:00:00.024100,0:00:08.559200
4,corpus,NO,NO,BOW,TF*IDF-LSA,RandomForestClassifier,0.708269131997946,0.707607662990621,0.708269131997946,0:00:08.520000,0:00:00.365000,0:00:00.030700,0:00:08.915700
5,corpus,NO,NO,BOW,TF*IDF-LSA,SVM,0.89779147406266,0.898562654123139,0.89779147406266,0:00:08.520000,0:00:00.152000,0:00:00.028100,0:00:08.700100
6,corpus,NO,NO,BOW,TF*IDF-Plain,GaussianNB,0.842321520287622,0.840255458663703,0.842321520287622,0:00:07.190000,0:00:00.053000,0:00:00.065400,0:00:07.308400
7,corpus,NO,NO,BOW,TF*IDF-Plain,RandomForestClassifier,0.824345146379045,0.825646175873703,0.824345146379045,0:00:07.190000,0:00:00.391000,0:00:00.033700,0:00:07.614700
8,corpus,NO,NO,BOW,TF*IDF-Plain,SVM,0.887519260400616,0.888503134500609,0.887519260400616,0:00:07.190000,0:00:00.319000,0:00:00.074100,0:00:07.583100
9,corpus,yes,NO,BOW,TF*IDF-LDA,GaussianNB,0.577298407806882,0.550076420863481,0.577298407806882,0:00:15.404000,0:00:00.005660,0:00:00.014700,0:00:15.424360
10,corpus,yes,NO,BOW,TF*IDF-LDA,RandomForestClassifier,0.618900873138161,0.616090723831807,0.618900873138161,0:00:15.404000,0:00:00.202000,0:00:00.023600,0:00:15.629600
11,corpus,yes,NO,BOW,TF*IDF-LDA,SVM,0.663071391884951,0.60452783971485,0.663071391884951,0:00:15.404000,0:00:00.087900,0:00:00.015800,0:00:15.507700
12,corpus,yes,NO,BOW,TF*IDF-LSA,GaussianNB,0.772984078068824,0.772523307531024,0.772984078068824,0:00:07.224000,0:00:00.012000,0:00:00.025200,0:00:07.261200
13,corpus,yes,NO,BOW,TF*IDF-LSA,RandomForestClassifier,0.788906009244992,0.788709158560749,0.788906009244992,0:00:07.224000,0:00:00.367000,0:00:00.022300,0:00:07.613300
14,corpus,yes,NO,BOW,TF*IDF-LSA,SVM,0.898305084745763,0.898577099392454,0.898305084745763,0:00:07.224000,0:00:00.137000,0:00:00.026000,0:00:07.387000
15,corpus,yes,NO,BOW,TF*IDF-Plain,GaussianNB,0.847457627118644,0.846054748276989,0.847457627118644,0:00:07.264000,0:00:00.041600,0:00:00.067800,0:00:07.373400
16,corpus,yes,NO,BOW,TF*IDF-Plain,RandomForestClassifier,0.84643040575244,0.846882349364295,0.84643040575244,0:00:07.264000,0:00:00.203000,0:00:00.026300,0:00:07.493300
17,corpus,yes,NO,BOW,TF*IDF-Plain,SVM,0.893682588597843,0.894474660209031,0.893682588597843,0:00:07.264000,0:00:00.066500,0:00:00.019700,0:00:07.350200
18,text8,NO,TensorFlow,Word2Vec,ArithmeticMean,CNN,0.864920390344119,0.861901368401283,0.864920390344119,2:39:40.700000,0:04:34.402000,0:00:05.820000,2:44:20.922000
19,text8,NO,TensorFlow,Word2Vec,ArithmeticMean,DNN,0.906522855675398,0.90646849622071,0.906522855675398,2:39:40.700000,0:03:06,0:00:04.860000,2:42:51.560000
20,text8,NO,TensorFlow,Word2Vec,ArithmeticMean,SVM,0.923472008217771,0.923300507247048,0.923472008217771,2:39:40.700000,0:00:02.120000,0:00:00.023100,2:39:42.843100
21,text8,NO,TensorFlow,Word2Vec,BagOfConcepts-TFIDF,CNN,0.288649203903441,0.277408537694018,0.288649203903441,2:52:44,0:01:12.448000,0:00:03.590000,2:54:00.038000
22,text8,NO,TensorFlow,Word2Vec,BagOfConcepts-TFIDF,DNN,0.28608115048793,0.196077629005395,0.28608115048793,2:52:44,0:01:12,0:00:01.500000,2:53:57.500000
