,model.source,useStopwords,tool.word,model.word,model.document,classifier,accuracy,macro-F1,micro-F1,time.format.model,time.format.train,time.format.evaluate,time.format.all
1,corpus,NO,NO,NO,TF*IDF-LSA,GaussianNB,0.731381612737545,0.733430558939705,0.731381612737545,0:00:08.520000,0:00:00.015100,0:00:00.024100,0:00:08.559200
2,corpus,NO,NO,NO,TF*IDF-LSA,RandomForestClassifier,0.708269131997946,0.707607662990621,0.708269131997946,0:00:08.520000,0:00:00.365000,0:00:00.030700,0:00:08.915700
3,corpus,NO,NO,NO,TF*IDF-LSA,SVM,0.89779147406266,0.898562654123139,0.89779147406266,0:00:08.520000,0:00:00.152000,0:00:00.028100,0:00:08.700100
4,corpus,NO,NO,NO,TF*IDF-Plain,GaussianNB,0.842321520287622,0.840255458663703,0.842321520287622,0:00:07.190000,0:00:00.053000,0:00:00.065400,0:00:07.308400
5,corpus,NO,NO,NO,TF*IDF-Plain,RandomForestClassifier,0.824345146379045,0.825646175873703,0.824345146379045,0:00:07.190000,0:00:00.391000,0:00:00.033700,0:00:07.614700
6,corpus,NO,NO,NO,TF*IDF-Plain,SVM,0.887519260400616,0.888503134500609,0.887519260400616,0:00:07.190000,0:00:00.319000,0:00:00.074100,0:00:07.583100
7,corpus,yes,NO,NO,TF*IDF-LSA,GaussianNB,0.772984078068824,0.772523307531024,0.772984078068824,0:00:07.224000,0:00:00.012000,0:00:00.025200,0:00:07.261200
8,corpus,yes,NO,NO,TF*IDF-LSA,RandomForestClassifier,0.788906009244992,0.788709158560749,0.788906009244992,0:00:07.224000,0:00:00.367000,0:00:00.022300,0:00:07.613300
9,corpus,yes,NO,NO,TF*IDF-LSA,SVM,0.898305084745763,0.898577099392454,0.898305084745763,0:00:07.224000,0:00:00.137000,0:00:00.026000,0:00:07.387000
10,corpus,yes,NO,NO,TF*IDF-Plain,GaussianNB,0.847457627118644,0.846054748276989,0.847457627118644,0:00:07.264000,0:00:00.041600,0:00:00.067800,0:00:07.373400
11,corpus,yes,NO,NO,TF*IDF-Plain,RandomForestClassifier,0.84643040575244,0.846882349364295,0.84643040575244,0:00:07.264000,0:00:00.203000,0:00:00.026300,0:00:07.493300
12,corpus,yes,NO,NO,TF*IDF-Plain,SVM,0.893682588597843,0.894474660209031,0.893682588597843,0:00:07.264000,0:00:00.066500,0:00:00.019700,0:00:07.350200
13,text8,NO,TensorFlow,Word2Vec,ArithmeticMean,CNN,0.864920390344119,0.861901368401283,0.864920390344119,2:39:40.700000,0:04:34.402000,0:00:05.820000,2:44:20.922000
14,text8,NO,TensorFlow,Word2Vec,ArithmeticMean,DNN,0.906522855675398,0.90646849622071,0.906522855675398,2:39:40.700000,0:03:06,0:00:04.860000,2:42:51.560000
15,text8,NO,TensorFlow,Word2Vec,ArithmeticMean,SVM,0.923472008217771,0.923300507247048,0.923472008217771,2:39:40.700000,0:00:02.120000,0:00:00.023100,2:39:42.843100
16,text8,NO,TensorFlow,Word2Vec,BagOfConcepts-TFIDF,CNN,0.288649203903441,0.277408537694018,0.288649203903441,2:52:44,0:01:12.448000,0:00:03.590000,2:54:00.038000
17,text8,NO,TensorFlow,Word2Vec,BagOfConcepts-TFIDF,DNN,0.28608115048793,0.196077629005395,0.28608115048793,2:52:44,0:01:12,0:00:01.500000,2:53:57.500000
18,text8,NO,TensorFlow,Word2Vec,BagOfConcepts-TFIDF,SVM,0.281972265023112,0.19943066650085,0.281972265023112,2:52:44,0:00:00.290000,0:00:00.108000,2:52:44.398000
19,corpus,NO,TensorFlow,Word2Vec,ArithmeticMean,CNN,0.904468412942989,0.903780096245295,0.904468412942989,0:07:55.180000,0:04:41.409000,0:00:05.830000,0:12:42.419000
20,corpus,NO,TensorFlow,Word2Vec,ArithmeticMean,DNN,0.933744221879815,0.934021651092896,0.933744221879815,0:07:55.180000,0:03:00,0:00:04.850000,0:11:00.030000
21,corpus,NO,TensorFlow,Word2Vec,ArithmeticMean,SVM,0.939907550077042,0.940072422152718,0.939907550077042,0:07:55.180000,0:00:01.660000,0:00:00.068900,0:07:56.908900
22,corpus,NO,TensorFlow,Word2Vec,BagOfConcepts-TFIDF,CNN,0.40934771443246,0.406806657853507,0.40934771443246,0:18:20,0:01:15.392000,0:00:03.320000,0:19:38.712000
23,corpus,NO,TensorFlow,Word2Vec,BagOfConcepts-TFIDF,DNN,0.5115562403698,0.527785349950143,0.5115562403698,0:18:20,0:00:58.300000,0:00:01.270000,0:19:19.570000
24,corpus,NO,TensorFlow,Word2Vec,BagOfConcepts-TFIDF,SVM,0.454545454545455,0.46321355229913,0.454545454545455,0:18:20,0:00:00.051000,0:00:00.016000,0:18:20.067000
25,text8,NO,gensim,Word2Vec,ArithmeticMean,CNN,0.856702619414484,0.859630225289003,0.856702619414484,0:32:46.600000,0:04:40.397000,0:00:05.720000,0:37:32.717000
26,text8,NO,gensim,Word2Vec,ArithmeticMean,DNN,0.901386748844376,0.901440517140859,0.901386748844376,0:32:46.600000,0:03:06,0:00:04.550000,0:35:57.150000
27,text8,NO,gensim,Word2Vec,ArithmeticMean,SVM,0.919876733436056,0.919649135891579,0.919876733436056,0:32:46.600000,0:00:01.420000,0:00:00.031100,0:32:48.051100
28,text8,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,CNN,0.742681047765794,0.740000308093179,0.742681047765794,1:05:33,0:01:22.426000,0:00:03.470000,1:06:58.896000
29,text8,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,DNN,0.829994863893169,0.830627138672442,0.829994863893169,1:05:33,0:01:12,0:00:09,1:06:54
30,text8,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,SVM,0.825372367745249,0.825952219603986,0.825372367745249,1:05:33,0:00:00.470000,0:00:00.100000,1:05:33.570000
31,corpus,NO,gensim,Word2Vec,ArithmeticMean,CNN,0.909090909090909,0.909003338275633,0.909090909090909,0:01:42.750000,0:04:27.397000,0:00:05.740000,0:06:15.887000
32,corpus,NO,gensim,Word2Vec,ArithmeticMean,DNN,0.916795069337442,0.917042675956513,0.916795069337442,0:01:42.750000,0:02:56,0:00:04.680000,0:04:43.430000
33,corpus,NO,gensim,Word2Vec,ArithmeticMean,SVM,0.9301489470981,0.930138082483048,0.9301489470981,0:01:42.750000,0:00:01.150000,0:00:00.021300,0:01:43.921300
34,corpus,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,CNN,0.825885978428351,0.828683438335609,0.825885978428351,0:15:11,0:01:19.388000,0:00:03.280000,0:16:33.668000
35,corpus,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,DNN,0.896250642013354,0.896160026473784,0.896250642013354,0:15:11,0:01:01,0:00:01.210000,0:16:13.210000
36,corpus,NO,gensim,Word2Vec,BagOfConcepts-TFIDF,SVM,0.895737031330252,0.895506144137343,0.895737031330252,0:15:11,0:00:00.054600,0:00:00.019100,0:15:11.073700
37,corpus,NO,gensim,NO,Doc2Vec,CNN,0.500770416024653,0.482544716786064,0.500770416024653,0:09:03.000005,0:04:07.422000,0:00:06,0:13:16.422005
38,corpus,NO,gensim,NO,Doc2Vec,DNN,0.714946070878274,0.710270328009825,0.714946070878274,0:09:03.000005,0:03:01,0:00:04.370000,0:12:08.370005
39,corpus,NO,gensim,NO,Doc2Vec,SVM,0.727272727272727,0.724396427762548,0.727272727272727,0:09:03.000005,0:00:10.100000,0:00:00.353000,0:09:13.453005
